alpha_2,alpha_3,analytics_storage,brand,browser,current_progress,engagement_time_msec,event_origin,event_time,event_type,flag,ga_session_id,install_store,localization_id,location,model,model_number,name,numeric,official_name,os,place,selection,session_number,specification,state,user_action_detail,user_id,user_params/brand,user_params/campaign_name,user_params/context,user_params/dclid,user_params/gclid,user_params/is_active_user,user_params/marketing_id,user_params/medium,user_params/model,user_params/model_number,user_params/os,user_params/source,user_params/specification,user_params/srsltid,user_params/term,user_params/transaction_id,value
CA,CAN,Yes,Apple,,,6879.0,auto,1703213961614,Swipe,🇨🇦,,Null,es,,iPhone,11,Canada,124,,iOS,8.0,,,Max,5.0,Checked Notifications,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,80.0
BE,BEL,Yes,Apple,,,92902.0,auto,1703214003114,Click,🇧🇪,,Null,es,,iPhone,14,Belgium,56,Kingdom of Belgium,iOS,-1.0,,-1,Pro,3.0,,oUBINO0wjAJqQH2e,Apple,,,,,,cKAw13s6YYik,,iPhone,14,iOS,,Pro,,,,70.0
CA,CAN,Yes,Apple,,,45682.0,auto,1703214016449,Search Initiated,🇨🇦,,Null,es,Content Page,iPhone,11,Canada,124,,iOS,-1.0,TRUE,-1,Max,7.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,86.0
CA,CAN,Yes,Apple,,,18158.0,auto,1703214034171,Content Viewed,🇨🇦,,Null,es,Search Results,iPhone,11,Canada,124,,iOS,8.0,,,Max,7.0,Clicked Advertisement,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,41.0
CA,CAN,Yes,Apple,,,15597.0,auto,1703214085410,App Opened,🇨🇦,{{ga-sid}},Null,en,,iPhone,11,Canada,124,,iOS,8.0,,,Max,4.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,83.0
CA,CAN,Yes,Apple,,,84519.0,auto,1703214176479,Content Shared,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,-1.0,,-1,Max,6.0,Shared Content,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,84.0
CA,CAN,Yes,Apple,,,65920.0,auto,1703214183725,Content Shared,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,34.0,,,Max,5.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,54.0
CA,CAN,Yes,Apple,,,83379.0,auto,1703214185162,Content Viewed,🇨🇦,,Null,en,Profile,iPhone,11,Canada,124,,iOS,8.0,,,Max,5.0,Viewed Article,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,96.0
CA,CAN,Yes,Apple,,,27957.0,auto,1703214214656,Content Shared,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,34.0,,-1,Max,7.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,42.0
CA,CAN,Yes,Apple,,,41444.0,auto,1703214246426,Scroll,🇨🇦,,Null,es,,iPhone,11,Canada,124,,iOS,-1.0,,,Max,9.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,69.0
CA,CAN,Yes,Apple,,,99079.0,auto,1703214280710,Content Viewed,🇨🇦,,Null,es,,iPhone,11,Canada,124,,iOS,3.0,,,Max,3.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,62.0
CA,CAN,Yes,Apple,,,96190.0,auto,1703214291490,Content Shared,🇨🇦,,Null,en,,iPhone,12,Canada,124,,iOS,3.0,,,X,5.0,Checked Notifications,U0aKE0dHcICG0Jgk,Apple,,,,,,WT133Ze6L3ti,,iPhone,12,iOS,,X,,,,71.0
CA,CAN,Yes,Apple,,,23652.0,auto,1703214295869,Double Tap,🇨🇦,,Null,en,Home Screen,iPhone,11,Canada,124,,iOS,-1.0,,-1,Max,3.0,Searched,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,36.0
CA,CAN,Yes,Apple,,,48324.0,auto,1703214446812,Click,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,-1.0,TRUE,,Max,5.0,Searched,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,65.0
CA,CAN,Yes,Apple,,,85243.0,auto,1703214492290,Content Shared,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,3.0,,,Max,6.0,Viewed Article,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,50.0
CA,CAN,Yes,Apple,,,12772.0,auto,1703214630009,Content Viewed,🇨🇦,,Null,es,Settings,iPhone,11,Canada,124,,iOS,3.0,,,Max,8.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,95.0
CA,CAN,Yes,Apple,,,81804.0,auto,1703214630947,Long Press,🇨🇦,,Null,en,Settings,iPhone,11,Canada,124,,iOS,-1.0,,,Max,7.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,34.0
CA,CAN,Yes,Apple,,,57976.0,auto,1703214650289,Swipe,🇨🇦,,Null,es,,iPhone,11,Canada,124,,iOS,34.0,,-1,Max,8.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,90.0
CA,CAN,Yes,Apple,,,66358.0,auto,1703214671145,Content Viewed,🇨🇦,,Null,en,Notifications,iPhone,11,Canada,124,,iOS,-1.0,,,Max,5.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,95.0
CA,CAN,Yes,Apple,,,23475.0,auto,1703214734226,Content Viewed,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,8.0,,,Max,1.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,70.0
CA,CAN,Yes,Apple,,,48227.0,auto,1703214754420,App Closed,🇨🇦,,Null,es,Profile,iPhone,11,Canada,124,,iOS,3.0,,,Max,2.0,Checked Notifications,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,65.0
CA,CAN,Yes,Apple,,,53529.0,auto,1703214756202,App Opened,🇨🇦,,Null,es,Search Results,iPhone,11,Canada,124,,iOS,3.0,,,Max,5.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,76.0
CA,CAN,Yes,Apple,,,54000.0,auto,1703214814932,Scroll,🇨🇦,,Null,en,Settings,iPhone,11,Canada,124,,iOS,3.0,,,Max,3.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,41.0
CA,CAN,Yes,Apple,,,11060.0,auto,1703214817842,Content Shared,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,8.0,,,Max,8.0,Toggled Dark Mode,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,54.0
CA,CAN,Yes,Apple,,,81967.0,auto,1703214921577,Content Shared,🇨🇦,,Null,en,Feed,iPhone,11,Canada,124,,iOS,34.0,,,Max,1.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,42.0
CA,CAN,Yes,Apple,,,80861.0,auto,1703214922107,Click,🇨🇦,,Null,es,Search Results,iPhone,11,Canada,124,,iOS,-1.0,,,Max,6.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,30.0
CA,CAN,Yes,Apple,,,83374.0,auto,1703214944334,Scroll,🇨🇦,,Null,es,,iPhone,12,Canada,124,,iOS,8.0,,,X,1.0,,U0aKE0dHcICG0Jgk,Apple,,,,,,WT133Ze6L3ti,,iPhone,12,iOS,,X,,,,88.0
CA,CAN,undefined,Apple,,,38955.0,auto,1703215272670,Click,🇨🇦,{{ga-sid}},Null,en,,iPhone,11,Canada,124,,iOS,8.0,,-1,Max,3.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,79.0
CA,CAN,Yes,Apple,,,90864.0,auto,1703215305673,Long Press,🇨🇦,,Null,es,,iPhone,11,Canada,124,,iOS,3.0,,-1,Max,5.0,Toggled Dark Mode,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,21.0
CA,CAN,Yes,Apple,,,26863.0,auto,1703215315681,App Opened,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,34.0,,,Max,8.0,Viewed Article,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,32.0
CA,CAN,Yes,Apple,,,30242.0,auto,1703215371953,App Closed,🇨🇦,{{ga-sid}},Null,es,,iPhone,11,Canada,124,,iOS,34.0,,-1,Max,3.0,Viewed User Profile,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,23.0
CA,CAN,Yes,Apple,,,2363.0,auto,1703215471605,App Opened,🇨🇦,{{ga-sid}},Null,es,,iPhone,11,Canada,124,,iOS,8.0,,,Max,3.0,Shared Content,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,95.0
CA,CAN,Yes,Apple,,,41926.0,auto,1703215490252,Swipe,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,34.0,,,Max,5.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,53.0
CA,CAN,Yes,Apple,,,21440.0,auto,1703215576645,Content Viewed,🇨🇦,,Null,en,Feed,iPhone,11,Canada,124,,iOS,34.0,,,Max,9.0,Toggled Dark Mode,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,22.0
CA,CAN,Yes,Apple,,,61904.0,auto,1703215858865,Content Viewed,🇨🇦,,Null,en,,iPhone,12,Canada,124,,iOS,34.0,TRUE,,X,2.0,,U0aKE0dHcICG0Jgk,Apple,,,,,,WT133Ze6L3ti,,iPhone,12,iOS,,X,,,,39.0
CA,CAN,Yes,Apple,,,10685.0,auto,1703215871856,Content Shared,🇨🇦,,Null,en,Search Results,iPhone,12,Canada,124,,iOS,-1.0,,,X,5.0,,U0aKE0dHcICG0Jgk,Apple,,,,,,WT133Ze6L3ti,,iPhone,12,iOS,,X,,,,70.0
CA,CAN,Yes,Apple,,,43313.0,auto,1703215872764,Scroll,🇨🇦,,Null,en,Feed,iPhone,11,Canada,124,,iOS,3.0,,,Max,6.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,34.0
CA,CAN,Yes,Apple,,,34201.0,auto,1703215909520,Scroll,🇨🇦,{{ga-sid}},Null,es,,iPhone,11,Canada,124,,iOS,8.0,,,Max,4.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,35.0
CA,CAN,Yes,Apple,,,19322.0,auto,1703215951567,Long Press,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,-1.0,,,Max,5.0,Checked Notifications,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,39.0
CA,CAN,undefined,Apple,,,14636.0,auto,1703216108995,App Closed,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,34.0,TRUE,,Max,7.0,Viewed User Profile,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,43.0
CA,CAN,Yes,Apple,,,318.0,auto,1703216161837,Scroll,🇨🇦,,Null,es,,iPhone,11,Canada,124,,iOS,3.0,,-1,Max,2.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,32.0
CA,CAN,Yes,Apple,,,60701.0,auto,1703216456207,Content Viewed,🇨🇦,,Null,es,,iPhone,11,Canada,124,,iOS,8.0,,,Max,0.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,22.0
CA,CAN,Yes,Apple,,,50584.0,auto,1703216485329,Double Tap,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,8.0,,,Max,6.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,78.0
CA,CAN,Yes,Apple,,,99169.0,auto,1703216508298,Content Shared,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,8.0,,,Max,9.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,79.0
CA,CAN,Yes,Apple,,,20443.0,auto,1703216694577,Content Viewed,🇨🇦,,Null,en,Settings,iPhone,11,Canada,124,,iOS,3.0,,-1,Max,7.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,29.0
CA,CAN,Yes,Apple,,,87946.0,auto,1703216781810,App Opened,🇨🇦,,Null,en,Settings,iPhone,11,Canada,124,,iOS,3.0,,-1,Max,6.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,41.0
CA,CAN,Yes,Apple,,,66686.0,auto,1703216805013,Content Shared,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,3.0,,-1,Max,2.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,24.0
CA,CAN,Yes,Apple,,,44722.0,auto,1703216894906,App Opened,🇨🇦,,Null,es,Settings,iPhone,11,Canada,124,,iOS,-1.0,,,Max,8.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,46.0
CA,CAN,Yes,Apple,,,4331.0,auto,1703216950428,Double Tap,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,3.0,,,Max,3.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,74.0
CA,CAN,Yes,Apple,,,66682.0,auto,1703217014519,Swipe,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,-1.0,,,Max,4.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,96.0
CA,CAN,Yes,Apple,,,52330.0,auto,1703217057147,Content Viewed,🇨🇦,,Null,es,Feed,iPhone,11,Canada,124,,iOS,34.0,,-1,Max,3.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,67.0
CA,CAN,Yes,Apple,,,27235.0,auto,1703217295861,Scroll,🇨🇦,,Null,es,Home Screen,iPhone,11,Canada,124,,iOS,3.0,,,Max,0.0,Shared Content,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,52.0
BE,BEL,Yes,Apple,,,99365.0,auto,1703217348902,Long Press,🇧🇪,,Null,en,,iPhone,14,Belgium,56,Kingdom of Belgium,iOS,8.0,,,Pro,7.0,,oUBINO0wjAJqQH2e,Apple,,,,,,cKAw13s6YYik,,iPhone,14,iOS,,Pro,,,,57.0
CA,CAN,Yes,Apple,,,31259.0,auto,1703217442357,Swipe,🇨🇦,,Null,es,Search Results,iPhone,11,Canada,124,,iOS,3.0,,,Max,7.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,20.0
CA,CAN,Yes,Apple,,,68122.0,auto,1703217554810,Scroll,🇨🇦,,Null,es,,iPhone,11,Canada,124,,iOS,3.0,,,Max,5.0,Toggled Dark Mode,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,49.0
CA,CAN,Yes,Apple,,,29546.0,auto,1703217714781,Swipe,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,-1.0,,-1,Max,9.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,18.0
CA,CAN,Yes,Apple,,,51785.0,auto,1703217824979,Double Tap,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,3.0,TRUE,,Max,5.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,66.0
CA,CAN,Yes,Apple,,,49019.0,auto,1703217880757,App Closed,🇨🇦,,Null,es,,iPhone,11,Canada,124,,iOS,34.0,TRUE,-1,Max,0.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,72.0
CA,CAN,Yes,Apple,,,74992.0,auto,1703217939230,Search Initiated,🇨🇦,,Null,es,,iPhone,11,Canada,124,,iOS,8.0,,,Max,0.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,42.0
CA,CAN,Yes,Apple,,,49817.0,auto,1703217951159,App Opened,🇨🇦,,Null,es,,iPhone,11,Canada,124,,iOS,34.0,,,Max,1.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,94.0
CA,CAN,Yes,Apple,,,10817.0,auto,1703218025388,Scroll,🇨🇦,,Null,es,Profile,iPhone,11,Canada,124,,iOS,34.0,,,Max,8.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,21.0
CA,CAN,Yes,Apple,,,30603.0,auto,1703218185706,App Opened,🇨🇦,{{ga-sid}},Null,es,,iPhone,11,Canada,124,,iOS,34.0,TRUE,-1,Max,5.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,18.0
CA,CAN,Yes,Apple,,,4803.0,auto,1703218437948,Swipe,🇨🇦,,Null,es,Settings,iPhone,11,Canada,124,,iOS,8.0,,,Max,1.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,90.0
CA,CAN,Yes,Apple,,,89969.0,auto,1703218607807,Content Viewed,🇨🇦,,Null,es,Feed,iPhone,11,Canada,124,,iOS,8.0,,-1,Max,1.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,36.0
CA,CAN,Yes,Apple,,,13500.0,auto,1703218635658,Swipe,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,34.0,TRUE,,Max,1.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,31.0
CA,CAN,Yes,Apple,,,24536.0,auto,1703218658003,Long Press,🇨🇦,,Null,es,,iPhone,11,Canada,124,,iOS,-1.0,,,Max,9.0,Toggled Dark Mode,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,53.0
CH,CHE,Yes,Apple,,,11474.0,auto,1703218692022,Click,🇨🇭,{{ga-sid}},Null,es,,iPhone,9,Switzerland,756,Swiss Confederation,iOS,3.0,,-1,Ultra,6.0,,Obv6Sy9ptgwBnhcz,Apple,,,,,,ZhfNNukKnL0G,,iPhone,9,iOS,,Ultra,,,,35.0
CA,CAN,Yes,Apple,,,62353.0,auto,1703218771881,Content Viewed,🇨🇦,,Null,en,Search Results,iPhone,11,Canada,124,,iOS,3.0,,,Max,4.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,55.0
CA,CAN,Yes,Apple,,,57912.0,auto,1703218836438,Long Press,🇨🇦,,Null,es,Home Screen,iPhone,11,Canada,124,,iOS,-1.0,,,Max,2.0,Searched,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,88.0
CH,CHE,Yes,Apple,,,98995.0,auto,1703218893613,Double Tap,🇨🇭,,Null,en,Settings,iPhone,9,Switzerland,756,Swiss Confederation,iOS,34.0,,,Ultra,5.0,,Obv6Sy9ptgwBnhcz,Apple,,,,,,ZhfNNukKnL0G,,iPhone,9,iOS,,Ultra,,,,57.0
